eventid,iyear,imonth,iday,extended,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,ingroup,ingroup2,ingroup3,gsubname3,motive,guncertain1,guncertain2,guncertain3,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
201201010001,2012,1,1,0,153,Pakistan,6,South Asia,Balochistan,Quetta,30.209423,67.018009,1,0,Incident occurred on Joint road.,"01/01/2012: A grenade was thrown into a shop on Joint Road, Quetta city, Balochistan province, Pakistan. Twelve people were injured in the blast, and damage was done to a number of nearby shops. No group claimed responsibility for the attack.",1,1,1,0,,.,0,1,0,3,Bombing/Explosion,,.,,.,1,Business,2,Restaurant/Bar/Caf‚,Unknown,Paan Shop,153,Pakistan,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,7,Grenade,,.,,.,,.,,.,,.,,.,,0,0,0,12,0,0,1,3,Minor (likely < $1 million),-99,"The targeted shops, as well as several other shops in the area, were damaged in this attack.",0,,,,,,,,,,,,,,.,,"There is doubt that this incident meets terrorism-related criteria. Given the political and criminal context in Pakistan, the attack on the shop may have been the result of local crime. However, given the high number of casualties, a political motive cannot be dismissed.","""16 hurt in hand grenade attacks in Quetta, Hub,"" Daily The Post, January 3, 2012.","""Grenade attack injures five in Quetta,"" Daily The Post, January 2, 2012.","""Grenade attack injures nine in Quetta,"" Plus News Pakistan, January 2, 2012.",START Primary Collection,-9,-9,0,-9,
201201010002,2012,1,1,0,104,Kenya,11,Sub-Saharan Africa,North Eastern,Garissa,-0.45612,39.646123,1,0,,"01/01/2012: Assailants threw two grenades and opened fire on Locus Pub as people were celebrating the new year in Garissa city, North Eastern region, Kenya. This was one of two attacks on bars just after midnight on January 1, 2012 in Garissa. Across the two attacks, five people were killed and 28 injured. No group claimed responsibility; however, sources suspected Al-Shabaab.",1,1,1,0,,.,1,1,0,2,Armed Assault,,.,,.,1,Business,2,Restaurant/Bar/Caf‚,Locus Pub,Bar,104,Kenya,,.,,.,,,,.,,.,,.,,,,.,Al-Shabaab,,,,,20036,,,,"The specific motive is unknown; however, Al-Shabaab had vowed to retaliate against Kenya for crossing the border into Somalia to attack them in October 2011.",1,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,7,Grenade,5,Firearms,2,Automatic Weapon,,.,,.,,.,,.,Two grenades and AK-47 assault rifles were used in the attack.,2.5,0,0,14,0,0,1,3,Minor (likely < $1 million),-99,The dance floor was damaged in this attack.,0,,,,,,,,,,,,,,.,,"Casualty numbers for this attack represent an equal division of a cumulative total of killed and wounded across incidents 201201010002 and 201201010004. Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority estimates are reported here.","""BRIEF: Five killed in   grenade attack   in northern Kenya,"" DPA (Berlin), January 1, 2012.","""UPDATE 2-Gunmen attack bars in northeast Kenya, 5 dead,"" Reuters News, January 1, 2012.","""Gunmen attack bars in northeast Kenya, at least 2 dead,"" Plus News Pakistan, January 2, 2012.",START Primary Collection,1,1,0,1,201201010004
201201010003,2012,1,1,0,153,Pakistan,6,South Asia,Balochistan,Sui,28.636116,69.186465,1,0,,"01/01/2012: A convoy of Frontier Corps (FC) soldiers hit two landmines in Sui subdistrict, Balochistan province, Pakistan. Four soldiers were killed and three injured in the blast. No group claimed responsibility for the attack, but sources attributed it to the Baloch Republican Army (BRA).",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,.,,.,4,Military,39,Paramilitary,Frontier Corps (FC),Soldiers,153,Pakistan,,.,,.,,,,.,,.,,.,,,,.,Baloch Republican Army (BRA),,,,,20097,,,,,0,,,-99,0,1,10,Unknown,,,.,,,.,,6,Explosives/Bombs/Dynamite,8,Land Mine,,.,,.,,.,,.,,.,,.,,4,0,0,3,0,0,1,3,Minor (likely < $1 million),-99,The victim's vehicle was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""4 security personnel killed in blast,"" The Press Trust of India Limited, January 1, 2012.","""FACTBOX-Security developments in Pakistan, Jan 1,"" Reuters News, January 1, 2012.","""4 FC men killed in Dera Bugti blast,"" The Nation, January 2, 2012.",START Primary Collection,0,0,0,0,
201201010004,2012,1,1,0,104,Kenya,11,Sub-Saharan Africa,North Eastern,Garissa,-0.45612,39.646123,1,0,,"01/01/2012: Assailants threw a grenade and opened fire on a bar as people were celebrating the new year in Garissa city, North Eastern region, Kenya. This was one of two attacks on bars just after midnight on January 1, 2012 in Garissa. Across the two attacks, five people were killed and 28 injured. No group claimed responsibility for the incident, but sources suspected Al-Shabaab.",1,1,1,0,,.,1,1,0,2,Armed Assault,,.,,.,1,Business,2,Restaurant/Bar/Caf‚,Unknown,Bar,104,Kenya,,.,,.,,,,.,,.,,.,,,,.,Al-Shabaab,,,,,20036,,,,"The specific motive is unknown; however, Al-Shabaab has vowed to retaliate against Kenya for crossing the border into Somalia to attack them in October, 2011.",1,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,7,Grenade,5,Firearms,5,Unknown Gun Type,,.,,.,,.,,.,,2.5,0,0,14,0,0,1,3,Minor (likely < $1 million),-99,An unknown number of vehicles and a nightclub were damaged in this attack.,0,,,,,,,,,,,,,,.,,"Casualty numbers for this attack represent an equal division of a cumulative total of killed and wounded across incidents 201201010002 and 201201010004. Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority estimates are reported here.","""UPDATE 2-Gunmen attack bars in northeast Kenya, 5 dead,"" Reuters News, January 1, 2012.","""Five dead in New Year blast in Kenyan town: police,"" Agence France Presse, January 1, 2012.","""Five dead in New Year blast in Kenyan town: police,"" Agence France Presse, January 1, 2012.",START Primary Collection,1,1,0,1,201201010002
201201010005,2012,1,1,1,153,Pakistan,6,South Asia,Balochistan,Peer Chhatta,28.466667,67.283333,1,0,Incident occurred near Pahao Bridge in Nasirabad district.,"01/01/2012: Four men were kidnapped from their car in Peer Chhatta area, Nasirabad district, Balochistan province, Pakistan. They were rescued on January 19, 2012. No group claimed responsibility for the attack.",1,1,1,0,,.,0,1,0,6,Hostage Taking (Kidnapping),,.,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,153,Pakistan,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,5,Firearms,5,Unknown Gun Type,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,0,,.,,,1,4,0,,15,,,0,,,,,,5,Successful Rescue,4,,"""4 kidnapped recovered,"" Pakistan Press International Information Services, January 20, 2012.","""3 brothers kidnapped in Nasirabad,"" The Baluchistan Times, January 3, 2012.","""Four men kidnapped,"" Daily Times, January 3, 2012.",START Primary Collection,-9,-9,0,-9,
201201010006,2012,1,1,0,153,Pakistan,6,South Asia,Federally Administered Tribal Areas,Salarzai,34.761723,71.324719,1,0,Incident occurred in the Bajaur Agency,"01/01/2012: An explosive device targeting anti-Taliban fighters detonated in a market in Salarzai area, Bajaur Agency, Federally Administered Tribal Areas, Pakistan. One person was killed and three injured. No group claimed responsibility for the incident.",1,1,1,0,,.,0,1,0,3,Bombing/Explosion,,.,,.,17,Terrorists/Non-State Militia,94,Non-State Militia,Unknown,Militia Members,153,Pakistan,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,12,Remote Trigger,,.,,.,,.,,.,,.,,.,,1,0,0,3,0,0,1,3,Minor (likely < $1 million),-99,A shop was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""Bomb kills 1 anti-Taliban militiaman in Pakistan,"" The Associated Press, January 1, 2012.","""Bomb kills anti-Taliban fighter in Pakistan,"" Agence France Presse, January 1, 2012.","""Anti-Taliban fighter killed in Bajaur,"" Daily Times, January 2, 2012.",START Primary Collection,-9,-9,0,-9,
201201010007,2012,1,1,0,95,Iraq,10,Middle East & North Africa,Saladin,Samarra,34.193514,43.875255,1,1,,"01/01/2012: The convoy of Sunni finance minister Rafe al-Essawi hit a roadside bomb in Samarra city, Saladin governorate, Iraq. Two bodyguards were injured. No group claimed responsibility for the attack.",1,1,1,0,,.,0,0,0,1,Assassination,,.,,.,2,Government (General),18,"Government Personnel (excluding police, military)",Iraqi Ministry of Finance,Finance Minister: Rafe al-Essawi,95,Iraq,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,"The specific motive is unknown; however, a source speculates that the bombing against the Sunni finance minister was of a sectarian nature.",0,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,A roadside bomb was used in the attack.,0,0,0,2,0,0,1,3,Minor (likely < $1 million),-99,The victim's vehicle was damaged in this attack.,0,,,,,,,,,,,,,,.,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority estimates are reported here.","""Reports Differ of Attack on an Iraqi Minister,"" The New York Times, January 3, 2012.","""Iraqi minister escapes in bomb attack; World Bulletin,"" The Daily Telegraph, January 3, 2012.",,START Primary Collection,-9,-9,0,-9,
201201010008,2012,1,1,0,4,Afghanistan,6,South Asia,Helmand,Karez,32.397381,64.47316,2,0,,"01/01/2012: A North Atlantic Treaty Organization (NATO) vehicle struck a roadside bomb in Karez area, Shindand district, Helmand province, Afghanistan. There were no casualties, but the vehicle was damaged. No group claimed responsibility, but sources attributed the attack to the Taliban.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,.,,.,4,Military,37,NATO,North Atlantic Treaty Organization (NATO): International Security Assistance Force (ISAF),Vehicle,422,International,,.,,.,,,,.,,.,,.,,,,.,Taliban,,,,,652,,,,,0,,,-99,0,1,8,Personal claim,,,.,,,.,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,1,4,Unknown,-99,An ISAF vehicle was damaged in this attack.,0,,,,,,,,,,,,,,.,,,"""ISAF vehicle damaged, missile hits Bagram base,"" The Frontier Post (Pakistan), January 2, 2012.","""ISAF vehicle damaged, missiles hit Bagram Airbase separately,"" Afghan Islamic Press (AIP), January 1, 2012.",,START Primary Collection,0,1,1,1,
201201010009,2012,1,1,0,4,Afghanistan,6,South Asia,Kandahar,Sanzari,30.996068,65.475736,2,0,,"01/01/2012: North Atlantic Treaty Organization (NATO) and Afghan troops discovered and detonated explosives in Sanzari subdistrict, Zhari district, Kandahar province, Afghanistan. No one was injured in the incident. No group claimed responsibility for the attack.",1,1,1,0,,.,0,0,0,3,Bombing/Explosion,,.,,.,20,Unknown,,.,Unknown,Unknown,,.,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,16,Unknown Explosive Type,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,0,0,,.,,,0,,,,,,,,,,,,,,.,,,"""ISAF vehicle damaged, missile hits Bagram base,"" The Frontier Post (Pakistan), January 2, 2012.",,,START Primary Collection,-9,-9,1,1,
201201010012,2012,1,1,0,153,Pakistan,6,South Asia,Federally Administered Tribal Areas,Landi Kotal,34.0989,71.14978,1,1,Near Afghanistan border,"01/01/2012: An explosive device detonated near the house of a tribal elder in Landi Kotal town, Khyber Agency, Federally Administered Tribal Areas, Pakistan. Two people were killed and nine injured in the incident. No group claimed responsibility for the attack.",1,1,1,0,,.,0,1,0,3,Bombing/Explosion,,.,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,153,Pakistan,,.,,.,,,,.,,.,,.,,,,.,Unknown,,,,,-9,,,,,0,,,-99,0,0,,.,,,.,,,.,,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,,.,,.,,.,,.,,.,,.,A homemade bomb was used in the attack.,2,0,0,9,0,0,0,,.,,,0,,,,,,,,,,,,,,.,,,"""2 killed, 9 wounded in Khyber Agency,"" Daily The Pak Banker, January 1, 2012.",,,START Primary Collection,-9,-9,0,-9,
201201010013,2012,1,1,0,229,Democratic Republic of the Congo,11,Sub-Saharan Africa,South Kivu,Shabunda,-2.694693,27.341538,2,0,,"01/01/2012: Assailants attacked a Congolese village in Shabunda territory, South Kivu province, Democratic Republic of the Congo. This was one of three attacks by the group in a two-day span. Eighteen people were killed in this attack, and 13 were wounded across all three. The Democratic Front for the Liberation of Rwanda (FDLR) claimed responsibility for the incidents, stating that they were in revenge for locals allying themselves with Raia Mutomboki, a local defense group.",1,1,1,0,,.,1,1,0,9,Unknown,7,Facility/Infrastructure Attack,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,229,Democratic Republic of the Congo,,.,,.,,,,.,,.,,.,,,,.,Democratic Front for the Liberation of Rwanda (FDLR),,,,,20138,,,,"The attack by the Democratic Forces for the Liberation of Rwanda was in revenge for locals allying themselves with Raia Mutomboki, a local defense group.",0,,,-99,0,0,,.,,,.,,,.,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,18,0,0,4.34,0,0,1,3,Minor (likely < $1 million),-99,Six houses were damaged in this attack.,0,,,,,,,,,,,,,,.,,"Casualty numbers for this attack represent an equal division of a cumulative total of wounded across incidents 201201010013, 201201030040, and 201201030041.","""Rwandan Hutu rebels kill 26 in DR Congo: army,"" Agence France Presse, January 4, 2012.","""Rebels kill 26 in eastern Congo attacks - army,"" Reuters News, January 4, 2012.","""Congo: 45 Civilians Killed in South Kivu,"" The New York Times, January 6, 2012.",START Primary Collection,1,1,0,1,"201201030040, 201201030041"
