Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,,,,,,,,,,
Date extracted: 2016-11-07 16:33:34 +01:00,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2011,Yemen,Syrian Arab Rep.,U / FA,34,34,17,4,0,0,23,27,24,24
2011,United States of America,Syrian Arab Rep.,G / IN,10,0,206,61,0,10,52,123,112,0
2011,United States of America,Syrian Arab Rep.,G / EO,0,0,57,16,0,19,30,65,0,0
2011,Ukraine,Syrian Arab Rep.,U / FI,1,1,7,0,0,8,0,8,0,0
2011,Ukraine,Syrian Arab Rep.,G / JR,73,73,67,2,0,9,4,15,125,125
2011,Ukraine,Syrian Arab Rep.,G / FA,22,22,55,1,0,13,12,26,51,51
2011,Turkey,Syrian Arab Rep.,U / RA,0,0,7,1,0,0,6,7,0,0
2011,Turkey,Syrian Arab Rep.,U / FI,50,50,188,13,0,5,30,48,190,190
2011,Turkey,Syrian Arab Rep.,U / AR,15,15,13,0,0,0,13,13,15,15
2011,Tunisia,Syrian Arab Rep.,U / FA,0,0,5,5,0,0,0,5,0,0
2011,Thailand,Syrian Arab Rep.,U / FI,1,1,9,0,0,1,1,2,8,8
2011,Togo,Syrian Arab Rep.,G / FI,0,0,1,1,0,0,0,1,0,0
2011,Chad,Syrian Arab Rep.,J / FI,0,0,2,2,0,0,0,2,0,0
2011,Sweden,Syrian Arab Rep.,G / FI,247,0,640,91,57,334,16,498,287,0
2011,Sweden,Syrian Arab Rep.,G / AR,124,0,350,12,16,389,39,456,198,0
2011,Slovenia,Syrian Arab Rep.,G / FI,0,0,11,0,0,1,4,5,6,0
2011,Slovakia,Syrian Arab Rep.,G / FI,0,0,10,1,0,1,6,8,0,0
2011,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,G / FI,0,0,13,0,0,0,13,13,0,0
2011,Saudi Arabia,Syrian Arab Rep.,U / FI,7,7,5,0,0,0,0,,12,12
2011,Russian Federation,Syrian Arab Rep.,G / TA,2,2,13,2,0,0,9,11,4,4
2011,Russian Federation,Syrian Arab Rep.,G / FI,1,1,31,0,0,0,24,24,8,8
2011,Romania,Syrian Arab Rep.,G / FA,13,4,44,1,0,24,5,30,27,17
2011,Poland,Syrian Arab Rep.,G / RA,0,0,1,0,0,0,0,,0,0
2011,Poland,Syrian Arab Rep.,G / FI,8,0,11,0,2,0,9,11,10,0
2011,Poland,Syrian Arab Rep.,G / AR,0,0,0,0,2,0,0,2,0,0
2011,Philippines,Syrian Arab Rep.,G / FI,0,0,2,0,0,0,0,,2,0
2011,Panama,Syrian Arab Rep.,G / FI,0,0,2,0,0,0,0,,2,0
2011,Pakistan,Syrian Arab Rep.,U / FA,0,0,2,0,0,0,0,,2,2
2011,Oman,Syrian Arab Rep.,U / FI,0,0,4,0,0,0,0,,4,4
2011,New Zealand,Syrian Arab Rep.,G / FI,1,0,2,0,0,1,0,1,2,0
2011,New Zealand,Syrian Arab Rep.,G / AR,2,0,1,0,0,3,0,3,0,0
2011,Norway,Syrian Arab Rep.,G / FI,84,0,198,3,5,52,51,111,179,0
2011,Norway,Syrian Arab Rep.,G / AR,108,0,158,0,0,113,7,120,157,0
2011,Netherlands,Syrian Arab Rep.,G / RA,0,0,30,0,0,0,0,,0,0
2011,Netherlands,Syrian Arab Rep.,G / FI,133,0,168,7,16,63,0,86,231,0
2011,Netherlands,Syrian Arab Rep.,G / JR,0,0,0,1,1,4,0,6,0,0
2011,Malaysia,Syrian Arab Rep.,U / FI,5,5,14,4,0,0,7,11,8,8
