Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,,,,,,,,,,,,,,,
Date extracted: 2016-11-07 16:33:00 +01:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total
2011,Syrian Arab Rep.,Tartous : Mohafazat - Governorates,29,54,,73,213,20,,389,27,66,,73,168,30,,364
2011,Syrian Arab Rep.,Syrian Arab Republic : Dispersed in the country / territory,186,315,,303,1078,93,,1975,207,339,,289,906,90,,1831
2011,Syrian Arab Rep.,Raqqa : Mohafazat - Governorates,0,0,,0,0,1,,1,0,0,,0,1,1,,2
2011,Syrian Arab Rep.,Lattakia : Mohafazat - Governorates,21,64,,58,211,24,,378,30,77,,71,205,36,,419
2011,Syrian Arab Rep.,Idleb : Mohafazat - Governorates,31,42,,39,122,6,,240,32,54,,43,111,9,,249
2011,Syrian Arab Rep.,Homs : Mohafazat - Governorates,144,288,,262,923,117,,1734,160,277,,294,783,146,,1660
2011,Syrian Arab Rep.,Hassakeh : Mohafazat - Governorates,461,660,,464,1793,199,,3577,451,765,,482,1110,158,,2966
2011,Syrian Arab Rep.,Hama : Mohafazat - Governorates,15,37,,26,114,14,,206,28,31,,29,91,17,,196
2011,Syrian Arab Rep.,Dayr_Az_Zor : Mohafazat - Governorates,138,188,,126,456,31,,939,156,186,,162,365,38,,907
2011,Syrian Arab Rep.,Dara : Mohafazat - Governorates,103,207,,161,523,56,,1050,133,207,,188,468,49,,1045
2011,Syrian Arab Rep.,As_Suweida : Mohafazat - Governorates,19,29,,15,45,3,,111,21,26,,13,42,1,,103
2011,Syrian Arab Rep.,Aleppo : Mohafazat - Governorates,340,559,,498,1804,196,,3397,367,546,,494,1663,233,,3303
2011,Syrian Arab Rep.,Damascus : Point,3225,6190,,5540,22904,3294,,41153,3460,6612,,5756,19893,3431,,39152
2011,Syrian Arab Rep.,Al Hol : Point,11,8,,15,38,6,,78,14,6,,7,71,6,,104
2012,Syrian Arab Rep.,Tartous : Mohafazah - Governorate,18,27,,41,121,16,,223,15,31,,42,111,27,,226
2012,Syrian Arab Rep.,Syrian Arab Republic : Dispersed in the country / territory,122,220,,187,779,61,,1369,124,229,,225,669,67,,1314
2012,Syrian Arab Rep.,Raqqa : Mohafazah - Governorate,12,22,,15,45,3,,97,14,18,,18,34,1,,85
2012,Syrian Arab Rep.,Lattakia : Mohafazah - Governorate,10,44,,37,140,16,,247,21,44,,53,145,25,,288
2012,Syrian Arab Rep.,Idleb : Mohafazah - Governorate,16,19,,21,83,2,,141,18,38,,26,74,2,,158
2012,Syrian Arab Rep.,Homs : Mohafazah - Governorate,60,133,,133,421,49,,796,80,151,,138,399,80,,848
2012,Syrian Arab Rep.,Hassakeh : Mohafazah - Governorate,375,620,,412,1612,192,,3211,359,671,,473,1014,138,,2655
2012,Syrian Arab Rep.,Hama : Mohafazah - Governorate,7,20,,14,62,6,,109,16,21,,25,44,8,,114
2012,Syrian Arab Rep.,Dayr Az-Zor : Mohafazah - Governorate,50,80,,64,215,12,,421,50,71,,60,193,20,,394
2012,Syrian Arab Rep.,Dara : Mohafazah - Governorate,56,110,,102,321,29,,618,70,128,,139,311,36,,684
2012,Syrian Arab Rep.,Damascus : Mohafazah - Governorate,1903,3846,,3485,14649,1972,,25855,1983,4020,,3686,14396,2300,,26385
2012,Syrian Arab Rep.,As-Suweida : Mohafazah - Governorate,2,1,,1,7,0,,11,1,1,,3,9,0,,14
2012,Syrian Arab Rep.,Aleppo : Mohafazah - Governorate,176,268,,254,1027,93,,1818,165,259,,285,1016,126,,1851
2012,Syrian Arab Rep.,Al Hol : Point,5,4,,5,30,4,,48,7,5,,2,40,3,,57
2013,Syrian Arab Rep.,Tartous : Mohafazah - Governorate,14,28,,28,104,12,,186,14,23,,35,98,21,,191
2013,Syrian Arab Rep.,Syrian Arab Republic : Dispersed in the country / territory,65,96,,96,380,29,,666,49,111,,93,366,51,,670
2013,Syrian Arab Rep.,Raqqa : Mohafazah - Governorate,9,12,,4,26,2,,53,8,12,,8,20,1,,49
2013,Syrian Arab Rep.,Lattakia : Mohafazah - Governorate,3,31,,23,99,13,,169,20,22,,47,95,15,,199
2013,Syrian Arab Rep.,Idleb : Mohafazah - Governorate,1,8,,11,43,1,,64,8,18,,10,40,1,,77
2013,Syrian Arab Rep.,Homs : Mohafazah - Governorate,31,59,,56,220,20,,386,35,67,,79,191,38,,410
2013,Syrian Arab Rep.,Hassakeh : Mohafazah - Governorate,211,435,,273,1121,136,,2176,207,457,,290,598,90,,1642
2013,Syrian Arab Rep.,Hama : Mohafazah - Governorate,4,6,,7,39,6,,62,6,15,,16,23,5,,65
2013,Syrian Arab Rep.,Dayr Az-Zor : Mohafazah - Governorate,25,47,,35,142,4,,253,32,52,,30,109,7,,230
2013,Syrian Arab Rep.,Dara : Mohafazah - Governorate,18,52,,33,117,6,,226,22,54,,41,87,11,,215
