"Country/
territory of asylum",Refugees,"People in
refugeelike
situations","Total refugees
and people in
refugee-like
situations","Of whom
assisted by
UNHCR","Asylum seekers
(pending
cases)","Returned
refugees","IDPs protected/
assisted by
UNHCR, incl.
people in IDPlike
situations","Returned
IDPs","Persons under
UNHCR’s
statelessness
mandate",Various,"Total
population
Refugees of concern"
Afghanistan,75,"16,112","16,187","16,187",51,"98,609","486,298","18,830",0,"879,376","1,499,351"
Albania,86,0,86,86,28,0,0,0,"7,443",0,"7,557"
Algeria,"94,133",0,"94,133","90,000","1,736",7,0,0,0,0,"95,876"
Angola,"23,413",0,"23,413","5,078","20,336","19,724",0,0,0,0,"63,473"
Argentina,"3,488",0,"3,488",180,"1,921",0,0,0,0,0,"5,409"
Armenia,"2,854",0,"2,854","2,331",383,1,0,0,35,"5,500","8,773"
Aruba,0,0,0,0,6,0,0,0,0,0,6
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0
Australia,"30,083",0,"30,083",0,"20,010",0,0,0,0,0,"50,093"
Austria,"51,730",0,"51,730",0,"22,429",0,0,0,542,0,"74,701"
Azerbaijan,"1,468",0,"1,468","1,468",135,0,"600,336",0,"3,585",0,"605,524"
Bahamas,30,7,37,37,14,0,0,0,0,1,52
Bahrain,289,0,289,289,50,0,0,0,0,0,339
Bangladesh,"30,697","200,000","230,697","50,697",3,0,0,0,0,0,"230,700"
Barbados,0,0,0,0,0,0,0,0,0,1,1
Belarus,576,0,576,240,62,0,0,0,"6,969",0,"7,607"
Belgium,"22,024",0,"22,024",0,"15,036",0,0,0,"3,898",0,"40,958"
Belize,28,0,28,0,76,0,0,0,0,0,104
Benin,"4,966",0,"4,966","4,966",131,0,0,0,0,0,"5,097"
Bolivia ,733,0,733,162,8,0,0,0,0,0,741
Bonaire,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,"6,903",0,"6,903","6,903",42,278,"103,449","9,551","4,500","52,717","177,440"
Botswana,"2,785",0,"2,785","2,785",212,0,0,0,0,443,"3,440"
Brazil,"4,715",0,"4,715","2,012","1,441",0,0,0,1,"5,580","11,737"
British Virgin Islands,2,0,2,2,0,0,0,0,0,0,2
Brunei Darussalam,0,0,0,0,0,0,0,0,"21,009",0,"21,009"
Bulgaria,"2,288",0,"2,288",0,"1,270",0,0,0,0,0,"3,558"
Burkina Faso,"39,306",0,"39,306","39,028",686,2,0,0,0,0,"39,994"
Burundi,"41,813",0,"41,813","41,813","6,130","35,741","78,948",0,"1,302",299,"164,233"
Cambodia,77,0,77,0,24,0,0,0,0,0,101
Cameroon,"98,969",0,"98,969","98,969","3,126",0,0,0,0,0,"102,095"
Canada,"163,756",0,"163,756",0,"32,643",0,0,0,0,0,"196,399"
Cayman Islands,3,0,3,1,0,0,0,0,0,0,3
Central African Rep.,"14,014",0,"14,014","14,014","2,604","2,315","51,679","35,433",0,0,"106,045"
Chad,"373,695",0,"373,695","349,782",181,"1,726","90,000","35,000",0,0,"500,602"
Chile,"1,695",0,"1,695",282,353,0,0,0,0,0,"2,048"
China,"301,037",0,"301,037",124,265,0,0,0,0,0,"301,302"
Hong Kong,117,0,117,117,835,0,0,0,1,0,953
Macao,0,0,0,0,6,0,0,0,0,0,6
Colombia,219,0,219,54,77,10,"3,943,509",0,12,0,"3,943,827"
Comoros,0,0,0,0,0,0,0,0,0,0,0
Congo,"98,455",0,"98,455","98,455","3,319",54,0,0,0,980,"102,808"
Costa Rica,"12,629","7,820","20,449","16,353",634,0,0,0,0,0,"21,083"
Côte d’Ivoire,"3,980",0,"3,980","3,980",520,"72,845","45,000","96,010","700,000",332,"918,687"
Croatia,690,34,724,724,345,98,0,0,"2,886","19,970","24,023"
Cuba,371,0,371,276,3,0,0,0,0,0,374
Curacao,14,0,14,14,26,0,0,0,0,0,40
Cyprus,"3,631",0,"3,631",0,"2,636",0,0,0,0,0,"6,267"
Czech Rep,"2,805",0,"2,805",0,574,2,0,0,"1,502",0,"4,883"
Dem. Rep. of the Congo,"65,109",0,"65,109","21,595","1,825","71,924","2,669,069","304,596",0,"71,815","3,184,338"
Denmark,"11,402",0,"11,402",0,692,0,0,0,"3,623",0,"15,717"
Djibouti,"19,139",0,"19,139","19,139","3,095",0,0,0,0,0,"22,234"
Dominica,0,0,0,0,0,0,0,0,0,0,0
Dominican  Rep.,758,0,758,260,767,0,0,0,0,0,"1,525"
Ecuador,"55,480","68,344","123,824","55,480","14,567",0,0,0,0,0,"138,391"
Egypt,"109,933",0,"109,933","39,933","16,952",4,0,0,60,0,"126,949"
El Salvador,45,0,45,27,0,0,0,0,0,0,45
Equatorial Guinea,0,0,0,0,0,1,0,0,0,0,1
Eritrea,"3,600",0,"3,600","3,567",14,6,0,0,0,64,"3,684"
Estonia,63,0,63,0,7,0,0,0,"94,235",0,"94,305"
Ethiopia,"376,393",0,"376,393","376,393",844,32,0,0,0,"1,490","378,759"
Fiji,6,0,6,6,7,0,0,0,0,0,13
Finland,"9,919",0,"9,919",0,"1,881",0,0,0,"2,017",0,"13,817"
France,"217,865",0,"217,865",0,"49,885",0,0,0,"1,210",0,"268,960"
Gabon,"1,663",0,"1,663","1,663","2,380",0,0,0,0,320,"4,363"
Gambia,"9,853",0,"9,853","9,828",0,0,0,0,0,320,"10,173"
Georgia,329,140,469,469,467,0,"279,778",0,"1,156",0,"281,870"
Germany,"589,737",0,"589,737",0,"85,560",0,0,0,"5,683",0,"680,980"
Ghana,"16,016",0,"16,016","16,016","2,605",1,0,0,0,0,"18,622"
Greece,"2,100",0,"2,100",0,"36,183",0,0,0,154,0,"38,437"
Grenada,0,0,0,0,0,0,0,0,0,0,0
Guatemala,159,0,159,6,3,0,0,0,0,0,162
Guinea,"10,371",0,"10,371","10,371",532,0,0,0,0,0,"10,903"
Guinea-Bissau,"7,784",0,"7,784","7,784",108,0,0,0,0,0,"7,892"
Guyana,7,0,7,7,0,0,0,0,0,0,7
Haiti,0,0,0,0,12,0,0,0,0,0,12
Honduras,16,0,16,0,0,0,0,0,1,0,17
Hungary,"4,054",0,"4,054",0,386,0,0,0,111,0,"4,551"
Iceland,68,0,68,0,69,0,0,0,119,0,256
India,"185,656",0,"185,656","18,491","3,559",0,0,0,0,0,"189,215"
Indonesia,"1,819",0,"1,819","1,819","6,126",35,0,0,0,0,"7,980"
Iran,"868,242",0,"868,242","868,242",17,6,0,0,0,0,"868,265"
Iraq,"98,822",0,"98,822","98,822","4,914","82,270","1,131,810","218,800","120,000",0,"1,656,616"
Ireland,"6,327",0,"6,327",0,"5,471",0,0,0,73,0,"11,871"
Israel,104,"48,401","48,505","4,726","5,699",0,0,0,14,0,"54,218"
