Country or territory of asylum or residence,Country or territory of origin,Refugees
Albania,Dem. Rep. of the Congo,5
Algeria,Dem. Rep. of the Congo,43
Angola,Dem. Rep. of the Congo,21104
Argentina,Colombia,526
Argentina,Dem. Rep. of the Congo,16
Argentina,Syrian Arab Rep.,159
Armenia,Syrian Arab Rep.,490
Aruba,Colombia,1
Australia,Colombia,124
Australia,Dem. Rep. of the Congo,28
Australia,Libya,309
Australia,Syrian Arab Rep.,265
Austria,Colombia,19
Austria,Dem. Rep. of the Congo,448
Austria,Libya,6
Austria,Syrian Arab Rep.,2748
Azerbaijan,Dem. Rep. of the Congo,1
Azerbaijan,Syrian Arab Rep.,9
Barbados,Syrian Arab Rep.,1
Belarus,Libya,1
Belarus,Syrian Arab Rep.,35
Belgium,Colombia,28
Belgium,Dem. Rep. of the Congo,916
Belgium,Libya,4
Belgium,Syrian Arab Rep.,1987
Benin,Dem. Rep. of the Congo,1
Benin,Syrian Arab Rep.,1
Bolivia (Plurinational State of),Colombia,178
Bolivia (Plurinational State of),Syrian Arab Rep.,3
Bosnia and Herzegovina,Syrian Arab Rep.,48
Botswana,Dem. Rep. of the Congo,174
Brazil,Colombia,1147
Brazil,Dem. Rep. of the Congo,617
Brazil,Libya,3
Brazil,Syrian Arab Rep.,333
Bulgaria,Dem. Rep. of the Congo,2
Bulgaria,Libya,1
Bulgaria,Syrian Arab Rep.,2104
Burkina Faso,Dem. Rep. of the Congo,47
Burundi,Dem. Rep. of the Congo,45124
Cambodia,Dem. Rep. of the Congo,1
Cameroon,Dem. Rep. of the Congo,464
Cameroon,Syrian Arab Rep.,1
Canada,Colombia,17381
Canada,Dem. Rep. of the Congo,3874
Canada,Libya,230
Canada,Syrian Arab Rep.,592
Central African Rep.,Dem. Rep. of the Congo,10992
Chad,Dem. Rep. of the Congo,313
Chad,Libya,0
Chad,Syrian Arab Rep.,15
Chile,Colombia,977
Chile,Dem. Rep. of the Congo,5
Chile,Syrian Arab Rep.,5
Colombia,Dem. Rep. of the Congo,1
Colombia,Syrian Arab Rep.,2
Congo,Dem. Rep. of the Congo,31936
Costa Rica,Colombia,10330
Costa Rica,Dem. Rep. of the Congo,3
Costa Rica,Syrian Arab Rep.,1
Côte d'Ivoire,Dem. Rep. of the Congo,159
Côte d'Ivoire,Syrian Arab Rep.,2
Croatia,Syrian Arab Rep.,22
Cuba,Colombia,0
Cuba,Syrian Arab Rep.,24
Curaçao,Colombia,6
Curaçao,Syrian Arab Rep.,1
Cyprus,Dem. Rep. of the Congo,12
Cyprus,Libya,1
Cyprus,Syrian Arab Rep.,316
Czech Rep.,Dem. Rep. of the Congo,40
Czech Rep.,Libya,7
Czech Rep.,Syrian Arab Rep.,149
Denmark,Colombia,0
Denmark,Dem. Rep. of the Congo,80
Denmark,Libya,19
Denmark,Syrian Arab Rep.,3271
Dominican Rep.,Colombia,1
Dominican Rep.,Syrian Arab Rep.,3
Ecuador,Colombia,54015
Ecuador,Syrian Arab Rep.,11
Egypt,Dem. Rep. of the Congo,43
Egypt,Libya,5
Egypt,Syrian Arab Rep.,131659
El Salvador,Colombia,3
Estonia,Syrian Arab Rep.,2
Ethiopia,Dem. Rep. of the Congo,516
Fiji,Dem. Rep. of the Congo,1
Finland,Colombia,1
Finland,Dem. Rep. of the Congo,196
Finland,Libya,11
Finland,Syrian Arab Rep.,352
France,Colombia,480
France,Dem. Rep. of the Congo,13513
France,Libya,42
France,Syrian Arab Rep.,1474
Gabon,Dem. Rep. of the Congo,84
Gambia,Dem. Rep. of the Congo,21
Georgia,Syrian Arab Rep.,25
Germany,Colombia,70
Germany,Dem. Rep. of the Congo,1672
Germany,Libya,141
Germany,Syrian Arab Rep.,21253
