name,Mean Parental Income,Median Parental Income,Mean Child Earnings,Median Child Earnings,Mean Kid Earnings (non-zero)
ASA Institute Of Business & Computer Technology,35390.39657,29000,24916.14876,19700,23600
Abilene Christian University,138760.9698,101000,50874.14613,40100,44400
Abraham Baldwin Agricultural College,80366.66127,66000,35346.92997,32500,35400
Academy Of Art University,166594.9696,92300,39988.01721,27400,36300
Adams State University,76121.81634,67200,38010.81341,34100,36600
Adelphi University,130723.7409,96300,54029.66686,50700,55000
Adirondack Community College - SUNY Office Of Community Colleges,75699.25196,69900,33735.5687,30300,33300
Adrian College,113708.1117,88500,43944.55249,40300,42700
Advanced Institute Of Hair Design,90962.7504,78100,27012.46591,24300,24600
Advanced Technology Institute,69400.14868,57200,33265.16236,33900,36200
Adventist University Of Health Sciences,73132.16039,62900,45837.11396,39200,45500
Agnes Scott College,148536.1196,97200,45756.53571,38900,47300
Aiken Technical College,67392.41217,64100,27452.43907,25200,28900
Alabama Agricultural & Mechanical University,57659.15269,44500,37065.25163,32900,36200
Alabama Southern Community College,61075.67018,44300,28755.53984,24300,28700
Alamance Community College,72254.9352,61200,27239.25566,25100,28300
Alamo Community College District,65078.97563,50600,32800.56627,29800,33800
Albany College Of Pharmacy And Health Sciences,90997.46899,95800,115474.4415,115800,128200
Albany State University,54718.25916,43800,34497.28754,31900,34200
Albany Technical College,43728.09193,29200,19887.24098,15800,18600
Albertus Magnus College,89400.36286,68600,46223.4916,43400,46600
Albion College,159765.4051,120700,59085.63821,48900,52700
Albright College,139372.1685,89000,53178.0486,47300,49400
Alderson Broaddus University,68810.9659,59500,40454.07528,37800,41200
Alfred University,133071.2606,90800,51684.43148,44600,49100
Allan Hancock College,76983.84074,65700,33651.39347,30800,35500
Allegany College Of Maryland,66930.81859,57900,33101.398,32400,35900
Allegheny College,142412.0818,102800,59176.89848,52500,53700
Allen County Community College,74845.65544,65000,31134.31924,29700,32300
Alma College,120659.5265,98200,52926.63566,48000,49400
Alpena Community College,68727.44139,60600,33374.47626,32500,34700
Altamaha Technical College,48751.51231,35700,21611.2779,14500,17500
Alvernia University,94909.35131,84300,43508.2672,41800,45100
Alverno College,76471.00966,65600,36851.64361,33200,34900
Alvin Community College,95668.52346,84500,41147.06572,36600,42000
Amarillo College,70729.86157,58500,34715.9641,31000,34900
"American Career College of Los Angeles, CA",55879.31704,30400,27716.02833,25700,28800
American Institute Of Business,77755.57664,66000,41033.30139,38700,40000
American Intercontinental University,62196.19987,44700,28537.09611,22100,28700
American International College,79213.42305,68700,42553.7961,41900,44100
American Musical & Dramatic Academy,115011.5706,88800,32574.36535,26000,28400
American National University,43873.0047,38300,19313.49526,17800,21400
American University ,305748.2662,135700,67366.26089,59100,64100
Amherst College,440985.7169,181300,104541.7443,69300,72500
Ancilla Domini College,72471.06687,61300,29541.68824,28900,31600
"Anderson University of Anderson, IN",116464.4859,88400,40006.88166,34900,39600
"Anderson University of Anderson, SC",89558.53371,75900,34404.90461,32600,35600
Andrews University,101521.1542,73900,46482.13356,37200,42300
Angelina College,55254.5624,45900,31710.93146,25100,30900
Angelo State University,79315.0784,68400,44097.48286,38500,41500
Anna Maria College,108239.2152,90400,45918.44709,40700,43200
Anne Arundel Community College,105564.4282,91100,39562.56931,36000,40900
Antelope Valley College,71043.66439,66600,32210.8752,25700,33300
Anthem College And The Bryman School Of Arizona,51869.36188,41100,25831.49997,23100,26800
Anthem Institute,75983.0101,56900,37753.19338,32200,38300
Antonelli College,50262.57463,37200,21783.69402,19300,22200
Appalachian State University,139395.6926,105900,44408.51292,39100,41300
Aquinas College,129991.2852,94800,43822.48671,39300,42400
Arapahoe Community College,110998.9357,93800,35661.73498,31700,36300
Arcadia University,148066.9625,92200,51423.2423,44900,50700
Argosy University,101653.7686,84000,31006.41828,29700,31700
Arizona State And Northern Arizona University And University Of Arizona,178288.5777,110700,58584.02084,46300,51100
Arizona Western College,51295.79964,38600,31081.79781,28000,31900
Arkansas Northeastern College,50379.58792,37100,26922.63871,23400,26300
Arkansas State University,74970.92898,60800,39836.68372,34500,37500
Arkansas State University - Beebe,70249.69388,63100,31968.61091,29500,34000
Arkansas Tech University,76237.43459,63200,40091.98048,35100,37900
Armstrong Atlantic State University,88486.62059,76000,37495.44288,34600,37700
Art Center College Of Design,140836.1464,84800,53629.40665,42800,51900
Art Institute Of Colorado ,105818.0472,74200,32437.30092,29600,34000
Art Institute Of Fort Lauderdale ,84857.70898,55400,31011.63153,25700,31500
Art Institute Of Houston ,96153.09433,58000,34363.50914,30300,35800
Art Institute Of New York City ,64366.3401,45900,30903.11352,26900,30700
Art Institute Of Philadelphia ,90855.07113,68000,32093.79156,27900,33700
Art Institute Of Phoenix ,93344.60826,73600,33764.32634,32300,36600
Art Institute Of Pittsburgh ,83031.6895,63800,30774.66393,26100,31500
Art Institute Of Portland ,102883.9385,78400,30562.63682,25200,32400
Art Institute Of Seattle ,117711.2161,78700,34776.03628,29000,35500
Art Institute Of York  - Pennsylvania,87538.40199,74500,33476.07954,30800,32800
Art Institutes International Minnesota ,90425.84188,77200,35526.8948,33400,35400
Asbury College,123413.0126,91700,39273.40351,33800,37100
Asheville Buncombe Technical Community College,73968.66063,62200,27286.25683,25000,28400
Ashland University,103633.1471,84600,43612.35932,39200,41900
Asnuntuck Community College,92144.84123,83300,34116.4725,31500,34100
Assumption College,148849.7908,120100,64315.6083,57500,58500
Athens Technical College,73254.09175,57200,28995.78148,25300,29700
Atlanta Metropolitan  State College,52692.98153,38900,26594.90912,23800,28400
Atlanta Technical College,41963.90258,32000,20750.52394,18000,20900
Atlantic Cape Community College,72492.31194,60000,31138.84557,26500,30700
Auburn University,194404.8583,123200,59378.07793,47300,51400
Auburn University Montgomery,84780.36575,73600,38542.14011,35400,38000
Augsburg College,153407.3377,99100,52349.58331,49000,51300
Augusta Technical College,58063.94404,46700,25352.94908,22800,25700
"Augustana College of Rock Island, IL",148707.0913,114300,63057.76113,53700,55500
"Augustana College of Sioux Falls, SD",119812.8256,93200,56115.485,44200,47100
Aurora University,99982.84526,87100,46524.26278,43500,46000
Austin College,152914.6209,109300,65116.54269,49700,52000
Austin Community College,109773.504,77100,36750.97092,32100,36400
Austin Peay State University,83845.63543,66600,37157.31942,33500,36800
Automotive Training Center,84929.57892,74600,43009.46694,39900,42800
Aveda Institute,99756.54846,83400,25206.68031,21400,25800
Aveda Institute Covington,84806.25792,63000,16463.96541,16200,18600
Averett University,86056.15802,65400,42596.40624,35500,37300
Avila University,138463.9661,88200,50949.99915,44800,47800
Azusa Pacific University,172835.4881,103700,47276.7129,42100,49500
Babson College,292542.2134,140500,134523.3345,95300,101700
Bainbridge State College,49669.58983,35300,26159.89379,21900,26600
Baker College,70673.76008,61400,26208.61749,22500,27000
Baker University,150457.8955,96200,51606.3189,45800,47800
Baldwin Wallace University,105043.525,89200,51732.97165,46100,48700
Ball State University,111459.0097,94900,44329.07446,40100,42100
Baltimore School Of Massage,70166.99041,70600,20455.7332,19500,26000
Baptist Bible College,72203.76881,67700,30429.30709,27100,30100
Baptist Bible College Of Pennsylvania,87674.39154,67500,28108.38005,23500,32200
Bard College,340615.728,117900,39956.82317,30900,38200
Barnard College,310543.0638,148000,71527.04265,56300,62700
Barry University,116412.1855,69500,42675.27829,39200,42700
Barstow Community College,62711.74123,58000,34251.57475,28700,37700
Barton College,99189.09597,87500,41048.79016,39300,40100
Barton County Community College,59945.31675,52600,34010.73451,31600,36100
Bates College,330710.9493,176900,78932.22507,55900,59900
Bates Technical College,74478.24721,65000,34781.24732,29900,37200
Bay De Noc Community College,73573.12879,64800,30487.01789,27200,30500
Bay Path College,93687.7548,84100,39169.47528,35800,41200
Bay State College,72966.30896,55000,29577.67663,25300,32500
Baylor University,215777.8602,132400,65545.43303,50300,56300
Beaufort County Community College,54211.49916,46400,26567.54139,22200,27900
Becker College,87529.21964,75500,35915.48785,33100,36600
Bel - Rea Institute Of Animal Technology,97078.15768,81700,26469.06916,29800,32100
Belhaven University,92393.31518,77300,35846.38595,32200,36200
Bellarmine University,135061.6663,98200,55282.58389,46700,49400
Bellevue College,143430.1454,97000,43504.87178,37700,43800
Bellevue University,87138.01787,73100,44472.32717,40000,42200
Bellingham Technical College,79678.37289,63900,32904.06656,25800,35900
Belmont Abbey College,124431.8341,97900,43370.90231,38100,40900
Belmont College,58512.50718,53000,31578.71092,26800,30700
Belmont University,187916.1581,116700,47326.76842,37900,41800
Beloit College,178407.6344,109800,45793.13653,40600,42600
Benedictine College,104279.5063,90200,45228.89358,43400,45200
Benedictine University,130073.1938,104500,63561.77757,54800,58600
Bennett College,59536.14466,50000,32334.89039,33400,35500
Bennington College,167420.2528,99200,28348.72713,19700,26100
Bentley University,188624.286,119600,94070.97602,79800,83100
Bergen Community College,97734.94202,72000,38240.72775,33900,39500
"Berkeley College of New York, NY",61200.79334,42500,40262.94883,36500,41900
"Berkeley College of Woodland Park, NJ",70132.76126,51200,39915.66376,37600,41500
Berklee College Of Music,214504.3778,119300,38475.06711,27400,34100
Berkshire Community College,88979.13946,66000,30806.06734,28700,32500
Berry College,133228.0224,103100,49306.16467,43400,46800
Beth Medrash Govoha Of America,185551.8812,91100,40265.10618,20900,30300
"Bethany College of Bethany, WV",84672.03008,77600,48828.98464,42400,45400
"Bethany College of Lindsborg, KS",88647.19836,73700,46771.64464,39800,43500
Bethany Lutheran College,89334.94182,76000,37626.14513,35500,35800
Bethel College,106638.6624,81300,34684.89787,31500,35200
"Bethel University of McKenzie, TN",67322.7109,54700,38366.42212,34500,40300
"Bethel University of Saint Paul, MN",152973.1177,100000,47177.41397,40200,44700
Bethune Cookman University,55685.36736,43000,34111.75033,32500,34700
Bevill State Community College,58937.88585,50100,29714.00649,26400,32300
Big Bend Community College,73206.44811,64400,34695.17044,31700,36000
Binghamton University,117250.8662,104400,78401.14824,65700,70100
Biola University,159678.221,95300,44505.20001,35700,44300
Birmingham Southern College,232673.8212,137900,62218.95022,48100,51400
Bishop State Community College,45969.42032,31400,25812.91469,20400,24100
Bismarck State College,75442.0624,68300,47251.79866,40400,43200
Black Hawk College,78878.48804,74000,34146.85455,30500,33800
Black River Technical College,53706.24564,41100,27476.76114,23600,26600
Blackburn University,74065.26565,65800,42374.59264,41300,42400
Blackhawk Technical College,77468.63986,73400,31793.90551,28700,31500
Bladen Community College,46182.47516,36100,22604.49892,19500,23300
Blinn College,109053.6046,83400,44096.71404,37100,41700
Bloomfield College,52584.27924,40800,39703.29035,35600,38600
Bloomsburg University Of Pennsylvania,101333.0935,89800,48812.65657,45700,48000
Blue Mountain Community College,67935.07537,61400,29965.77185,27500,31800
"Blue Ridge Community College of Flat Rock, NC",69763.49964,60800,25171.0156,22600,27500
"Blue Ridge Community College of Weyers Cave, VA",84341.15471,71600,33269.7265,31000,34100
Bluefield State College,60400.96442,54700,29678.15622,24800,32100
Bluffton University,90094.58238,77100,43814.76203,42400,46600
Boise State University,94480.98082,77100,38199.34834,31900,36100
Boricua College,37878.39274,28900,27806.56721,23200,29000
Bossier Parish Community College,75891.86945,63000,33123.26376,27600,31400
Boston College,394426.3457,168400,99796.0483,71800,76800
Boston University,262524.4335,126800,76565.23104,62000,66700
Bowdoin College,410517.6497,177600,88443.58568,61000,63800
Bowling Green State University,114765.6495,92800,46836.06727,42600,44700
"Bradford School of Columbus, OH",60225.62735,54100,26447.28119,22100,29600
"Bradford School of Pittsburgh, PA",77006.54407,69400,27458.32635,23400,29400
Bradley University,158446.4213,112900,62392.24282,54900,58400
Brandeis University,299664.4729,142700,78200.06473,63100,67000
Brazosport College,80082.90405,74000,43444.59877,35700,40300
Brenau University,126124.5117,87000,35588.35468,34600,38300
Brevard College,193567.7054,93900,33265.85192,29300,30700
Brewton Parker College,70745.01694,63400,34127.15665,30400,36100
Briar Cliff University,88356.0207,74400,44103.84752,39500,39800
Briarcliffe College,82617.98061,64800,37482.70515,34200,39700
Bridgerland Applied Technology College,78726.00266,70000,28008.61627,20200,32600
Bridgewater College,110865.433,91300,48955.28917,42100,45400
Bridgewater State University,107859.3629,93300,46548.66707,45400,48300
Brigham Young University,197843.0225,119600,49451.4904,32600,53900
Brigham Young University - Hawaii,120099.5218,93200,35057.53448,22600,39900
Brigham Young University-Idaho,124229.6447,92600,35954.58452,22600,41400
Bristol Community College,76552.47119,69500,34067.53657,31100,35100
Brookdale Community College,112528.4516,93200,40098.18297,33800,39700
Brookline College,40820.67744,30000,19864.06887,16200,22700
Brooks Institute,161301.6021,95300,35938.51107,30500,36100
Broome Community College,76614.34586,65700,31871.51352,28800,32700
Broward College,77850.61707,54900,33781.99516,30200,34500
Brown College,91665.3402,67800,33721.19912,31000,33300
Brown University,542890.8085,197000,106812.8054,66900,73800
Brunswick Community College,57462.2127,47200,22514.96486,17700,24000
