name,par_rank,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top1pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASA Institute Of Business & Computer Technology,0.274209109,0.171280099,0.29721652,0.25163232,0.210020525,0.069850537,0.033992793,0.001981456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abilene Christian University,0.683686359,0.140065296,0.132947591,0.173277369,0.246444071,0.307265673,0.171702009,0.028367675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham Baldwin Agricultural College,0.525405982,0.121949777,0.179026922,0.255328872,0.27395723,0.1697372,0.06398078,0.006384978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy Of Art University,0.649209833,0.205866264,0.193782068,0.18086787,0.158146221,0.261337576,0.163044912,0.014030807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams State University,0.540471235,0.121247677,0.159077859,0.243861894,0.272264816,0.203547754,0.07858049,0.005832592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelphi University,0.648892214,0.100515406,0.113007554,0.147644596,0.193154482,0.445677963,0.243636737,0.014892664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adirondack Community College - SUNY Office Of Community Colleges,0.534996618,0.120906023,0.200716864,0.251195857,0.258009611,0.169171645,0.059643791,0.003172262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian College,0.643139329,0.085792046,0.128081856,0.210497398,0.303666648,0.271962052,0.113471565,0.003567733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Institute Of Hair Design,0.621006875,0.122708785,0.2794218,0.345501106,0.184313296,0.068055014,0.00591525,0.001089648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Technology Institute,0.481592976,0.123879498,0.15231358,0.229782041,0.309479713,0.184545168,0.055439093,0.003851297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adventist University Of Health Sciences,0.532083189,0.104377727,0.103974903,0.198639895,0.25457831,0.338429165,0.137119333,0.000768332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnes Scott College,0.646476325,0.13175504,0.156675606,0.193110395,0.234351018,0.284107941,0.164719723,0.015001115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken Technical College,0.496268337,0.162551143,0.233295856,0.277416287,0.199246927,0.127489788,0.029020696,0.000342259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Agricultural & Mechanical University,0.425329574,0.114682812,0.175865371,0.245037379,0.258063735,0.206350702,0.083374694,0.002565126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama Southern Community College,0.417778869,0.170981625,0.247285584,0.260035188,0.169158636,0.152538967,0.051691994,0.002543508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamance Community College,0.512171664,0.15798331,0.224784791,0.304967962,0.227853705,0.084410231,0.026208921,0.001604563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamo Community College District,0.453478906,0.142829564,0.185212962,0.260367818,0.253989533,0.157600123,0.05754207,0.002861578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany College Of Pharmacy And Health Sciences,0.661741039,0.061036421,0.024199345,0.051073609,0.085526809,0.778163816,0.690743433,0.104751209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany State University,0.420957634,0.093914058,0.183699896,0.289701541,0.288617584,0.144066922,0.048978282,0.002489291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Technical College,0.289352655,0.156004981,0.402179208,0.271401879,0.124347204,0.046066728,0.006287367,0.001793627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albertus Magnus College,0.545599104,0.107212371,0.115100167,0.175846895,0.290429388,0.31141118,0.117392893,0.007106876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albion College,0.738589378,0.080197062,0.083193084,0.161210663,0.286509477,0.388889714,0.224205902,0.030884888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albright College,0.646742554,0.083530883,0.084608303,0.153845531,0.300778123,0.37723716,0.191473863,0.017509379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alderson Broaddus University,0.499516529,0.121455875,0.123094703,0.22246574,0.262190494,0.270793188,0.12479746,0.00365703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred University,0.650354717,0.09196551,0.110079469,0.17278264,0.255919984,0.369252397,0.213134462,0.015507132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Hancock College,0.529356316,0.166583886,0.197305557,0.222877401,0.226249432,0.186983724,0.088129186,0.002287015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegany College Of Maryland,0.488503481,0.145089357,0.185590626,0.263420273,0.245608578,0.160291166,0.060865162,0.001960276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny College,0.708648729,0.08109819,0.08523697,0.124072148,0.257207398,0.452385294,0.267042863,0.020971577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen County Community College,0.526211282,0.115806717,0.19913015,0.281256747,0.268526665,0.135279721,0.037055817,0.001653641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alma College,0.689799746,0.07772192,0.12998164,0.144775977,0.310187014,0.33733345,0.194911062,0.017990524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpena Community College,0.497607554,0.129352359,0.17630854,0.245169006,0.239465081,0.209705014,0.051084232,0.001540854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altamaha Technical College,0.34974302,0.219526504,0.343138788,0.192920826,0.164358755,0.080055127,0.019159608,0.000501098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
